City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
245,Chadan,RU,51.2833,91.5833,74.25,50,7,6.24,clear sky
246,Viedma,AR,-40.8135,-62.9967,48.65,60,100,8.61,overcast clouds
247,Tasiilaq,GL,65.6145,-37.6368,44.76,91,94,1.48,overcast clouds
248,Ust-Omchug,RU,61.15,149.6333,61.52,80,99,5.93,overcast clouds
249,Porto Torres,IT,40.835,8.3972,89.78,54,12,9.95,few clouds
250,Shatoy,RU,42.8714,45.6886,97.63,69,100,10.47,overcast clouds
251,Kropotkin,RU,45.4375,40.5756,103.64,20,31,10.76,scattered clouds
252,Lincoln,US,40.8,-96.667,72.12,86,1,1.99,clear sky
253,Airai,TL,-8.9266,125.4092,57.67,78,6,2.26,clear sky
254,Maiduguri,NG,11.8464,13.1603,96.12,35,46,5.32,scattered clouds
255,Khuzdar,PK,27.7384,66.6434,93.0,10,0,21.59,clear sky
256,Andros Town,BS,24.7,-77.7667,85.96,73,36,12.71,scattered clouds
257,Lebanon,US,36.2081,-86.2911,75.96,90,1,0.0,haze
258,Malm,NO,64.0721,11.2172,58.84,56,64,12.75,broken clouds
259,Poggibonsi,IT,43.4724,11.1456,95.05,34,5,7.0,clear sky
260,Saint-Philippe,RE,-21.3585,55.7679,76.55,83,12,14.7,light rain
261,Kelowna,CA,49.8831,-119.4857,60.51,56,0,1.92,clear sky
262,Maku,IR,39.2911,44.4521,99.59,11,0,5.32,clear sky
263,Ntcheu,MW,-14.8203,34.6359,77.86,29,27,6.29,scattered clouds
264,Samandag,TR,36.0842,35.9771,93.72,59,1,13.58,clear sky
265,Vanderhoof,CA,54.0166,-124.0198,49.26,92,91,10.85,overcast clouds
266,Palampur,IN,32.1167,76.5333,75.07,87,44,1.25,scattered clouds
267,Kushiro,JP,42.975,144.3747,63.05,94,100,2.17,overcast clouds
268,Otavi,NA,-19.65,17.3333,74.19,14,0,7.02,clear sky
269,Santa Rosa,PH,14.3122,121.1114,78.12,94,100,12.66,heavy intensity rain
270,Vao,NC,-22.6667,167.4833,68.92,74,100,13.51,overcast clouds
