City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
162,Halifax,CA,44.6453,-63.5724,70.7,85,83,3.0,broken clouds
163,Eresos,GR,39.1667,25.9333,80.11,71,0,14.52,clear sky
164,Gernsbach,DE,48.7667,8.3333,66.78,77,0,3.44,clear sky
165,Celestun,MX,20.8667,-90.4,84.92,75,34,17.02,scattered clouds
166,Canoa,DO,18.355,-71.1585,87.51,58,20,11.5,few clouds
167,Vardo,NO,70.3705,31.1107,44.46,89,100,21.97,overcast clouds
168,Mykhaylivka,UA,47.2724,35.2224,69.28,88,3,8.5,clear sky
169,Longyearbyen,SJ,78.2186,15.6401,40.84,70,20,6.91,few clouds
170,Sabha,LY,27.0377,14.4283,85.87,26,0,17.0,clear sky
171,Kanniyakumari,IN,8.0833,77.5667,79.77,79,99,20.98,light rain
172,Avarua,CK,-21.2078,-159.775,80.65,83,7,10.36,clear sky
173,Madimba,TZ,-10.4,40.3333,71.11,93,3,7.7,clear sky
174,Senigallia,IT,43.7093,13.2167,77.14,65,18,3.44,few clouds
175,Stornoway,GB,58.2093,-6.3865,55.36,88,90,3.44,overcast clouds
176,Vanimo,PG,-2.6741,141.3028,79.79,84,79,5.06,broken clouds
177,Ulaanbaatar,MN,47.9077,106.8832,57.33,88,40,0.0,scattered clouds
178,Samarai,PG,-10.6167,150.6667,78.03,75,96,14.65,overcast clouds
179,Avallon,FR,47.4833,3.9,60.6,92,1,3.71,clear sky
180,Dwarka,IN,22.2394,68.9678,82.54,84,100,26.62,overcast clouds
181,Bayanday,RU,53.0661,105.5139,60.17,79,0,1.83,clear sky
182,Lavrentiya,RU,65.5833,-171.0,42.57,71,100,11.39,overcast clouds
183,Saint-Pierre,RE,-21.3393,55.4781,71.28,56,0,20.71,light rain
184,Ribeira Grande,PT,38.5167,-28.7,68.4,77,40,2.3,scattered clouds
185,Saint Andrews,US,34.0454,-81.1293,88.11,67,75,5.75,broken clouds
186,Gat,IL,31.61,34.7642,79.48,75,1,4.74,clear sky
187,La Solana,ES,38.9442,-3.2381,82.45,16,0,8.01,clear sky
188,Iqaluit,CA,63.7506,-68.5145,46.13,75,90,11.01,overcast clouds
189,Straseni,MD,47.1414,28.6103,64.33,99,100,15.08,light rain
190,Nurobod,UZ,40.9056,69.8023,74.25,32,0,3.27,clear sky
191,Cidreira,BR,-30.1811,-50.2056,54.43,65,0,0.72,clear sky
192,Belyy Yar,RU,53.6039,91.3903,57.09,94,0,2.24,clear sky
193,Garcia,MX,25.8167,-100.5833,81.86,64,97,5.12,overcast clouds
194,Bairnsdale,AU,-37.8333,147.6167,50.7,82,51,3.76,broken clouds
195,Kolokani,ML,13.5728,-8.0339,72.79,92,91,12.62,overcast clouds
196,Lazaro Cardenas,MX,17.9583,-102.2,85.57,71,77,7.61,broken clouds
197,Atar,MR,20.5169,-13.0499,91.54,11,4,8.52,clear sky
198,Kodinsk,RU,58.6881,99.1844,61.36,82,84,2.73,light rain
199,Dingle,PH,10.9995,122.6711,78.53,84,100,11.61,overcast clouds
200,Beyneu,KZ,45.3167,55.2,91.62,21,86,15.75,overcast clouds
201,Matadi,CD,-5.8167,13.45,70.54,80,0,3.94,clear sky
202,Fare,PF,-16.7,-151.0167,78.69,77,15,16.67,few clouds
203,Hofn,IS,64.2539,-15.2082,59.52,66,5,4.23,clear sky
204,Awbari,LY,26.5921,12.7805,84.6,21,0,8.88,clear sky
205,Coquimbo,CL,-29.9533,-71.3436,49.73,87,20,5.75,few clouds
206,Vila,PT,42.0304,-8.1588,64.74,88,12,1.23,few clouds
207,Raudeberg,NO,61.9875,5.1352,55.2,83,70,12.03,broken clouds
208,Sarangani,PH,5.4033,125.4636,84.24,75,22,13.02,few clouds
209,Qaqortoq,GL,60.7167,-46.0333,50.5,99,100,2.66,overcast clouds
210,Wewak,PG,-3.5534,143.6268,80.92,84,85,6.87,overcast clouds
211,Nacala,MZ,-14.5428,40.6728,72.72,94,20,6.91,few clouds
212,Kruisfontein,ZA,-34.0033,24.7314,41.88,70,84,30.62,light rain
213,Solok,ID,-0.7918,100.6593,68.95,82,84,1.66,broken clouds
214,Ketchikan,US,55.3422,-131.6461,55.87,94,90,0.0,moderate rain
215,Balykshi,KZ,47.0667,51.8667,80.6,41,0,4.47,clear sky
216,Nassau,US,40.7507,-73.5829,81.81,82,1,3.44,clear sky
217,Thohoyandou,ZA,-22.9456,30.485,58.73,27,0,4.45,clear sky
218,Hami,CN,42.8,93.45,83.95,24,99,1.81,overcast clouds
219,Berlevag,NO,70.8578,29.0864,44.4,86,100,22.35,light rain
220,Dospat,BG,41.65,24.1667,49.59,76,28,6.02,scattered clouds
221,Cherskiy,RU,68.75,161.3,61.18,48,7,3.94,clear sky
222,Mumford,GH,5.2618,-0.759,75.42,85,16,8.01,few clouds
223,Kendari,ID,-3.945,122.4989,73.31,94,90,2.8,overcast clouds
224,Elizabeth City,US,36.2946,-76.2511,89.65,72,1,1.99,haze
225,Arraial Do Cabo,BR,-22.9661,-42.0278,64.26,82,0,3.44,clear sky
226,Lai,TD,9.3952,16.2989,76.42,81,92,4.92,overcast clouds
