City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
391,Ellisras,ZA,74.52,clear sky,-23.6649,27.7443,Lapa le le guesthouse
393,Sisimiut,GL,46.0,scattered clouds,66.9395,-53.6735,Hotel Sisimiut
398,Upernavik,GL,43.16,overcast clouds,72.7868,-56.1549,Gina's Guesthouse - Upernavik
399,Hebi,CN,72.77,heavy intensity rain,35.8992,114.1925,Wangfu Hotel
400,Ossora,RU,56.5,broken clouds,59.2353,163.0719,
401,Port Macquarie,AU,48.16,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
403,Altamont,US,56.77,haze,42.2068,-121.7372,Microtel Inn & Suites by Wyndham Klamath Falls
404,Moron,AR,58.01,clear sky,-34.6534,-58.6198,Hotel Morón
405,Talcahuano,CL,46.08,fog,-36.7167,-73.1167,departamento comodo
409,Anadyr,RU,45.1,clear sky,64.75,177.4833,"Гостиница ""Анадырь"""
413,Yar-Sale,RU,59.86,overcast clouds,66.8333,70.8333,Yalemd
415,Voh,NC,63.28,scattered clouds,-20.9667,164.7,Le gîte du Koniambo
416,Swan River,CA,64.29,broken clouds,52.1058,-101.2676,Super 8 by Wyndham Swan River MB
418,Santa Cruz,BO,63.86,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
420,Green River,US,69.19,overcast clouds,41.5286,-109.4662,Hampton Inn & Suites Green River
423,Kiama,AU,45.88,clear sky,-34.6833,150.8667,The Sebel Kiama Harbourside
424,Gedo,ET,55.29,light rain,9.0167,37.45,Mida Qanyi
425,Kahului,US,73.98,overcast clouds,20.8947,-156.47,Maui Seaside Hotel
429,Santiago,CL,70.29,clear sky,-33.4569,-70.6483,Che Lagarto Hostel Santiago
431,Evensk,RU,47.95,overcast clouds,61.95,159.2333,
433,Zubtsov,RU,67.78,light rain,56.1753,34.5894,Rogovo
434,Beisfjord,NO,53.04,moderate rain,68.3751,17.5988,
435,Biloela,AU,43.02,clear sky,-24.4167,150.5,Silo Motor Inn
437,Kautokeino,NO,51.01,overcast clouds,69.0125,23.0412,Thon Hotel Kautokeino
439,Yushu,CN,74.05,scattered clouds,44.8,126.5333,Honorable Institute
440,Bambous Virieux,MU,67.21,light rain,-20.3428,57.7575,Casa Tia Villa
442,Zhigansk,RU,58.17,clear sky,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
447,Murdochville,CA,66.9,overcast clouds,48.9583,-65.5006,Les Suites économique Murdochville
449,Francisco Beltrao,BR,59.9,broken clouds,-26.0811,-53.055,Cristal Palace Hotel
452,Senador Guiomard,BR,73.15,clear sky,-10.1522,-67.7392,Paraíso Hotel
457,Brae,GB,53.51,broken clouds,60.3964,-1.353,Busta House Hotel
459,Bakchar,RU,69.12,overcast clouds,57.0186,82.0711,Kristina
460,Ulfborg,DK,70.99,overcast clouds,56.2673,8.3217,Hedens Bed And Breakfast
462,Shumyachi,RU,68.9,overcast clouds,53.8583,32.4242,
464,General Roca,AR,54.73,overcast clouds,-39.0333,-67.5833,Hotel y Casino del Río General Roca
